fixture_id,gameweek,home_team,away_team,p_home,p_draw,p_away,home_xg,away_xg
361,37,Bournemouth,Chelsea,0.2915,0.28,0.4285,1.22,1.52
362,37,Brentford,Hull City,0.6137,0.2342,0.1521,1.97,0.9
363,37,Brighton,Liverpool,0.2314,0.2682,0.5004,1.08,1.68
364,37,Everton,Arsenal,0.1456,0.2405,0.614,0.83,1.9
365,37,Fulham,Coventry City,0.603,0.2389,0.1582,1.93,0.9
366,37,Leeds,Sunderland,0.4758,0.278,0.2462,1.58,1.08
367,37,Man City,Aston Villa,0.6564,0.2146,0.1289,2.14,0.86
368,37,Newcastle,Crystal Palace,0.5636,0.2528,0.1836,1.82,0.96
369,37,Nott'm Forest,Ipswich Town,0.4883,0.2788,0.2329,1.58,1.03
370,37,Spurs,Man Utd,0.4672,0.2717,0.2611,1.63,1.17
371,38,Arsenal,Brighton,0.6985,0.1991,0.1023,2.23,0.76
372,38,Aston Villa,Spurs,0.4243,0.2774,0.2983,1.54,1.26
373,38,Chelsea,Brentford,0.5939,0.24,0.1661,1.93,0.94
374,38,Coventry City,Nott'm Forest,0.3254,0.295,0.3796,1.22,1.34
375,38,Crystal Palace,Leeds,0.5121,0.2721,0.2159,1.65,1.0
376,38,Hull City,Newcastle,0.1681,0.2403,0.5916,0.95,1.93
377,38,Ipswich Town,Everton,0.3525,0.2949,0.3525,1.28,1.28
378,38,Liverpool,Bournemouth,0.6956,0.1973,0.1071,2.27,0.8
379,38,Man Utd,Fulham,0.5113,0.2648,0.2239,1.72,1.07
380,38,Sunderland,Man City,0.09,0.1835,0.7265,0.74,2.36
