fixture_idx,gw,home,away,actual_result,correct_in_5_base_experts,correct_in_all_tournament_models,provenance_category,valid_for_true_5_expert_oracle
158,15,Brentford,Leeds United,1,NONE,NONE,None,False
159,15,Manchester United,Bournemouth,1,NONE,NONE,None,False
160,15,Leeds United,Crystal Palace,0,NONE,NONE,None,False
161,15,Tottenham,Liverpool,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
162,15,Wolverhampton Wanderers,Brentford,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
163,15,Everton,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
164,15,Brighton and Hove Albion,Sunderland,1,NONE,NONE,None,False
165,15,Bournemouth,Burnley,1,NONE,NONE,None,False
166,15,Newcastle United,Chelsea,1,NONE,NONE,None,False
167,15,Manchester City,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
168,15,Aston Villa,Manchester United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
169,15,Fulham,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
170,15,Manchester United,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
171,15,Chelsea,Aston Villa,2,NONE,NONE,None,False
172,15,West Ham United,Fulham,2,NONE,NONE,None,False
173,15,Liverpool,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
174,15,Brentford,Bournemouth,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
175,15,Arsenal,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
176,15,Nottingham Forest,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
177,15,Burnley,Everton,1,NONE,NONE,None,False
178,15,Sunderland,Leeds United,1,NONE,NONE,None,False
179,15,Crystal Palace,Tottenham,2,NONE,NONE,None,False
180,15,Arsenal,Aston Villa,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
181,15,Manchester United,Wolverhampton Wanderers,1,NONE,NONE,None,False
182,15,West Ham United,Brighton and Hove Albion,1,NONE,NONE,None,False
183,15,Burnley,Newcastle United,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
184,15,Chelsea,Bournemouth,1,NONE,NONE,None,False
185,15,Nottingham Forest,Everton,2,NONE,NONE,None,False
186,15,Crystal Palace,Fulham,1,NONE,NONE,None,False
187,15,Liverpool,Leeds United,1,NONE,NONE,None,False
188,15,Brentford,Tottenham,1,NONE,NONE,None,False
189,15,Sunderland,Manchester City,1,NONE,NONE,None,False
190,15,Aston Villa,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
191,15,Brighton and Hove Albion,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
192,15,Wolverhampton Wanderers,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
193,15,Bournemouth,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
194,15,Manchester City,Chelsea,1,NONE,NONE,None,False
195,15,Fulham,Liverpool,1,NONE,NONE,None,False
196,15,Tottenham,Sunderland,1,NONE,NONE,None,False
197,15,Everton,Brentford,2,NONE,NONE,None,False
198,15,Leeds United,Manchester United,1,NONE,NONE,None,False
199,15,Newcastle United,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
200,15,West Ham United,Nottingham Forest,2,NONE,NONE,None,False
201,15,Bournemouth,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
202,15,Brentford,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
203,15,Crystal Palace,Aston Villa,1,NONE,NONE,None,False
204,15,Everton,Wolverhampton Wanderers,1,NONE,NONE,None,False
205,15,Fulham,Chelsea,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
206,15,Manchester City,Brighton and Hove Albion,1,NONE,NONE,None,False
207,15,Burnley,Manchester United,1,NONE,NONE,None,False
208,15,Newcastle United,Leeds United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
209,15,Arsenal,Liverpool,1,NONE,NONE,None,False
210,15,Nottingham Forest,Arsenal,1,NONE,NONE,None,False
211,15,Tottenham,West Ham United,2,NONE,NONE,None,False
212,15,Sunderland,Crystal Palace,0,"Availability, Tactical_T7, Context_D7","Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
213,15,Liverpool,Burnley,1,NONE,NONE,None,False
214,15,Chelsea,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
215,15,Manchester United,Manchester City,0,NONE,NONE,None,False
216,15,Leeds United,Fulham,0,Availability,Availability,5_Base_Experts,True
217,15,Wolverhampton Wanderers,Newcastle United,1,NONE,NONE,None,False
218,15,Aston Villa,Everton,2,NONE,NONE,None,False
219,15,Brighton and Hove Albion,Bournemouth,1,NONE,NONE,None,False
220,15,West Ham United,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
221,15,Burnley,Tottenham,1,NONE,NONE,None,False
222,15,Fulham,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
223,15,Manchester City,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
224,15,Bournemouth,Liverpool,0,NONE,NONE,None,False
225,15,Newcastle United,Aston Villa,2,NONE,NONE,None,False
226,15,Arsenal,Manchester United,2,NONE,NONE,None,False
227,15,Crystal Palace,Chelsea,2,NONE,NONE,None,False
228,15,Brentford,Nottingham Forest,2,NONE,NONE,None,False
229,15,Everton,Leeds United,1,NONE,NONE,None,False
230,15,Brighton and Hove Albion,Everton,1,NONE,NONE,None,False
231,15,Leeds United,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
232,15,Wolverhampton Wanderers,Bournemouth,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
233,15,Chelsea,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
234,15,Liverpool,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
235,15,Aston Villa,Brentford,2,NONE,NONE,None,False
236,15,Manchester United,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
237,15,Nottingham Forest,Crystal Palace,1,NONE,NONE,None,False
238,15,Tottenham,Manchester City,1,NONE,NONE,None,False
239,15,Sunderland,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
240,15,Leeds United,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
241,15,Newcastle United,Brentford,2,NONE,NONE,None,False
242,15,Wolverhampton Wanderers,Chelsea,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
243,15,Fulham,Everton,2,NONE,NONE,None,False
244,15,Manchester United,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
245,15,Bournemouth,Aston Villa,1,NONE,NONE,None,False
246,15,Arsenal,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
247,15,Burnley,West Ham United,2,"PQ7, Tactical_T7, Context_D7","PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
248,15,Brighton and Hove Albion,Crystal Palace,2,NONE,NONE,None,False
249,15,Liverpool,Manchester City,2,NONE,NONE,None,False
250,15,Tottenham,Newcastle United,2,Tactical_T7,"Tactical_T7, M3-E, M3-G, R7_Tree_Disagreement",5_Base_Experts,True
251,15,Chelsea,Leeds United,1,NONE,NONE,None,False
252,15,Everton,Bournemouth,2,NONE,NONE,None,False
253,15,West Ham United,Manchester United,1,NONE,NONE,None,False
254,15,Sunderland,Liverpool,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
255,15,Nottingham Forest,Wolverhampton Wanderers,1,NONE,NONE,None,False
256,15,Aston Villa,Brighton and Hove Albion,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
257,15,Crystal Palace,Burnley,2,NONE,NONE,None,False
258,15,Manchester City,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
259,15,Brentford,Arsenal,1,NONE,NONE,None,False
260,15,Wolverhampton Wanderers,Arsenal,1,NONE,NONE,None,False
261,15,Aston Villa,Leeds United,1,NONE,NONE,None,False
262,15,Brentford,Brighton and Hove Albion,2,NONE,NONE,None,False
263,15,Chelsea,Burnley,1,NONE,NONE,None,False
264,15,West Ham United,Bournemouth,1,NONE,NONE,None,False
265,15,Manchester City,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
266,15,Crystal Palace,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
267,15,Nottingham Forest,Liverpool,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
268,15,Sunderland,Fulham,2,NONE,NONE,None,False
269,15,Tottenham,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
270,15,Everton,Manchester United,2,NONE,NONE,None,False
271,15,Wolverhampton Wanderers,Aston Villa,0,NONE,NONE,None,False
272,15,Leeds United,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
273,15,Newcastle United,Everton,2,NONE,NONE,None,False
274,15,Bournemouth,Sunderland,1,NONE,NONE,None,False
275,15,Burnley,Brentford,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
276,15,Liverpool,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
277,15,Brighton and Hove Albion,Nottingham Forest,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
278,15,Fulham,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
279,15,Manchester United,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
280,15,Arsenal,Chelsea,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
281,15,Bournemouth,Brentford,1,NONE,NONE,None,False
282,15,Everton,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
283,15,Leeds United,Sunderland,2,NONE,NONE,None,False
284,15,Wolverhampton Wanderers,Liverpool,0,NONE,NONE,None,False
285,15,Newcastle United,Manchester United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
286,15,Manchester City,Nottingham Forest,1,NONE,NONE,None,False
287,15,Fulham,West Ham United,2,NONE,NONE,None,False
288,15,Brighton and Hove Albion,Arsenal,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
289,15,Aston Villa,Chelsea,2,NONE,NONE,None,False
290,15,Tottenham,Crystal Palace,2,"Tactical_T7, Context_D7","Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
291,15,Burnley,Bournemouth,1,NONE,NONE,None,False
292,15,Sunderland,Brighton and Hove Albion,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
293,15,Arsenal,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
294,15,Chelsea,Newcastle United,2,NONE,NONE,None,False
295,15,West Ham United,Manchester City,1,NONE,NONE,None,False
296,15,Crystal Palace,Leeds United,1,NONE,NONE,None,False
297,15,Manchester United,Aston Villa,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
298,15,Nottingham Forest,Fulham,1,NONE,NONE,None,False
299,15,Liverpool,Tottenham,1,NONE,NONE,None,False
300,15,Brentford,Wolverhampton Wanderers,1,NONE,NONE,None,False
301,15,Bournemouth,Manchester United,1,NONE,NONE,None,False
302,15,Brighton and Hove Albion,Liverpool,0,"F2, Availability, Tactical_T7, Context_D7","F2, M1-D, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
303,15,Fulham,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
304,15,Everton,Chelsea,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
305,15,Leeds United,Brentford,1,NONE,NONE,None,False
306,15,Newcastle United,Sunderland,2,NONE,NONE,None,False
307,15,Aston Villa,West Ham United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
308,15,Tottenham,Nottingham Forest,2,NONE,NONE,None,False
309,15,West Ham United,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
310,15,Arsenal,Bournemouth,2,NONE,NONE,None,False
311,15,Brentford,Everton,1,NONE,NONE,None,False
312,15,Burnley,Brighton and Hove Albion,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
313,15,Liverpool,Fulham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
314,15,Chelsea,Manchester City,2,"F2, PQ7, Tactical_T7, Context_D7","F2, M1-D, PQ7, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
315,15,Sunderland,Tottenham,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
316,15,Nottingham Forest,Aston Villa,1,NONE,NONE,None,False
317,15,Crystal Palace,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
318,15,Manchester United,Leeds United,2,NONE,NONE,None,False
319,15,Brentford,Fulham,1,NONE,NONE,None,False
320,15,Leeds United,Wolverhampton Wanderers,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
321,15,Newcastle United,Bournemouth,2,NONE,NONE,None,False
322,15,Tottenham,Brighton and Hove Albion,1,NONE,NONE,None,False
323,15,Chelsea,Manchester United,2,NONE,NONE,None,False
324,15,Aston Villa,Sunderland,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
325,15,Everton,Liverpool,2,"PQ7, Context_D7","PQ7, Context_D7",5_Base_Experts,True
326,15,Nottingham Forest,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
327,15,Manchester City,Arsenal,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
328,15,Crystal Palace,West Ham United,1,NONE,NONE,None,False
329,15,Brighton and Hove Albion,Chelsea,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
330,15,Burnley,Manchester City,2,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
331,15,Bournemouth,Leeds United,1,NONE,NONE,None,False
332,15,Sunderland,Nottingham Forest,2,NONE,NONE,None,False
333,15,Fulham,Aston Villa,0,"F2, Availability","F2, M1-D, Availability",5_Base_Experts,True
334,15,Liverpool,Crystal Palace,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
335,15,West Ham United,Everton,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
336,15,Wolverhampton Wanderers,Tottenham,2,NONE,NONE,None,False
337,15,Arsenal,Newcastle United,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
338,15,Manchester United,Brentford,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
339,15,Leeds United,Burnley,0,"F2, PQ7, Availability, Tactical_T7, Context_D7","F2, M1-D, PQ7, Availability, Tactical_T7, Context_D7, DATA04_Hybrid, M3-E, M3-G, R6_Hierarchical, R7_Tree_Disagreement",5_Base_Experts,True
