player,source_season,target_season,position,source_minutes,target_minutes,source_xg90,target_xg90,source_xa90,target_xa90
Cameron Archer,2023,2024,FWD,1870,1164,0.278,0.46,0.144,0.017
Caoimhin Kelleher,2023,2024,GK,900,810,0.0,0.0,0.004,0.0
Carlos Alcaraz,2022,2023,MID,1050,378,0.163,0.095,0.069,0.071
Carlos Alcaraz,2023,2024,MID,378,394,0.095,0.253,0.071,0.339
Carlos Baleba,2022,2023,FWD,460,1368,0.078,0.053,0.01,0.029
Carlos Baleba,2023,2024,MID,1368,2010,0.053,0.123,0.029,0.062
Carlos Soler,2016,2017,MID,1722,2373,0.101,0.174,0.111,0.157
Carlos Soler,2017,2018,MID,2373,2478,0.174,0.154,0.157,0.17
Carlos Soler,2018,2019,MID,2478,2098,0.154,0.078,0.17,0.06
Carlos Soler,2019,2020,FWD,2098,2745,0.078,0.309,0.06,0.173
Carlos Soler,2020,2021,MID,2745,2489,0.309,0.322,0.173,0.151
Carlos Soler,2021,2022,MID,2489,1436,0.322,0.169,0.151,0.089
Carlos Soler,2022,2023,FWD,1436,1086,0.169,0.147,0.089,0.191
Carlos Soler,2023,2024,MID,1086,1171,0.147,0.118,0.191,0.059
Casemiro,2015,2016,MID,1526,1711,0.068,0.169,0.069,0.023
Casemiro,2016,2017,MID,1711,2609,0.169,0.126,0.023,0.101
Casemiro,2017,2018,MID,2609,2317,0.126,0.065,0.101,0.043
Casemiro,2018,2019,MID,2317,3096,0.065,0.123,0.043,0.052
Casemiro,2019,2020,MID,3096,2902,0.123,0.207,0.052,0.09
Casemiro,2020,2021,MID,2902,2596,0.207,0.089,0.09,0.131
Casemiro,2021,2022,MID,2596,2130,0.089,0.133,0.131,0.164
Casemiro,2022,2023,MID,2130,2006,0.133,0.14,0.164,0.062
Casemiro,2023,2024,DEF,2006,1197,0.14,0.125,0.062,0.157
Charlie Taylor,2017,2018,DEF,950,3238,0.0,0.003,0.015,0.04
Charlie Taylor,2018,2019,DEF,3238,1938,0.003,0.001,0.04,0.04
Charlie Taylor,2019,2020,DEF,1938,2430,0.001,0.004,0.04,0.059
Charlie Taylor,2020,2021,DEF,2430,2729,0.004,0.006,0.059,0.113
Cheick Oumar Doucoure,2020,2021,MID,2643,2956,0.037,0.035,0.039,0.109
Cheick Oumar Doucoure,2021,2022,MID,2956,2825,0.035,0.032,0.109,0.065
Cheick Oumar Doucoure,2022,2023,MID,2825,926,0.032,0.019,0.065,0.072
Cheick Oumar Doucoure,2023,2024,MID,926,439,0.019,0.075,0.072,0.003
Cheikhou Kouyaté,2014,2015,MID,2670,3017,0.103,0.174,0.04,0.041
Cheikhou Kouyaté,2015,2016,MID,3017,2738,0.174,0.035,0.041,0.01
Cheikhou Kouyaté,2016,2017,MID,2738,2803,0.035,0.058,0.01,0.028
Cheikhou Kouyaté,2017,2018,MID,2803,1900,0.058,0.077,0.028,0.042
Cheikhou Kouyaté,2018,2019,FWD,1900,2560,0.077,0.074,0.042,0.027
Cheikhou Kouyaté,2019,2020,DEF,2560,3126,0.074,0.024,0.027,0.024
Cheikhou Kouyaté,2020,2021,MID,3126,1991,0.024,0.01,0.024,0.032
Cheikhou Kouyaté,2021,2022,FWD,1991,871,0.01,0.019,0.032,0.103
Chimuanya Ugochukwu,2021,2022,FWD,385,1330,0.061,0.078,0.032,0.057
Chris Basham,2019,2020,DEF,3275,2602,0.009,0.021,0.036,0.037
Chris Mepham,2018,2019,FWD,850,909,0.005,0.104,0.073,0.008
Chris Mepham,2022,2023,DEF,2197,610,0.021,0.013,0.008,0.07
Chris Richards,2020,2021,DEF,1036,1295,0.019,0.092,0.072,0.032
Chris Richards,2021,2022,DEF,1295,432,0.092,0.144,0.032,0.094
Chris Richards,2022,2023,DEF,432,2085,0.144,0.028,0.094,0.029
Chris Richards,2023,2024,DEF,2085,1340,0.028,0.024,0.029,0.008
Chris Wood,2017,2018,FWD,1639,2603,0.419,0.316,0.033,0.126
Chris Wood,2018,2019,FWD,2603,2462,0.316,0.63,0.126,0.054
Chris Wood,2019,2020,FWD,2462,2765,0.63,0.422,0.054,0.066
Chris Wood,2020,2021,FWD,2765,2734,0.422,0.27,0.066,0.045
Chris Wood,2021,2022,FWD,2734,808,0.27,0.382,0.045,0.04
Chris Wood,2022,2023,FWD,808,1797,0.382,0.669,0.04,0.1
Chris Wood,2023,2024,FWD,1797,2405,0.669,0.472,0.1,0.088
Christian Eriksen,2014,2015,MID,3160,2950,0.21,0.168,0.173,0.299
Christian Eriksen,2015,2016,MID,2950,3181,0.168,0.251,0.299,0.332
Christian Eriksen,2016,2017,MID,3181,3239,0.251,0.201,0.332,0.33
Christian Eriksen,2017,2018,MID,3239,2772,0.201,0.184,0.33,0.256
Christian Eriksen,2018,2019,MID,2772,1774,0.184,0.239,0.256,0.249
Christian Eriksen,2019,2020,FWD,1774,1401,0.239,0.076,0.249,0.153
Christian Eriksen,2020,2021,FWD,1401,935,0.076,0.135,0.153,0.359
Christian Eriksen,2021,2022,MID,935,2094,0.135,0.209,0.359,0.196
Christian Eriksen,2022,2023,FWD,2094,1130,0.209,0.055,0.196,0.187
Christian Eriksen,2023,2024,FWD,1130,808,0.055,0.027,0.187,0.242
Christian Nørgaard,2021,2022,MID,3068,1794,0.146,0.068,0.119,0.156
Christian Nørgaard,2022,2023,MID,1794,2556,0.068,0.112,0.156,0.105
Christian Nørgaard,2023,2024,MID,2556,2240,0.112,0.145,0.105,0.036
Christopher Nkunku,2015,2016,MID,331,400,0.006,0.146,0.011,0.016
Christopher Nkunku,2016,2017,FWD,400,615,0.146,0.382,0.016,0.072
Christopher Nkunku,2017,2018,FWD,615,1162,0.382,0.211,0.072,0.252
Christopher Nkunku,2018,2019,FWD,1162,1918,0.211,0.39,0.252,0.469
Christopher Nkunku,2019,2020,FWD,1918,1890,0.39,0.357,0.469,0.363
Christopher Nkunku,2020,2021,FWD,1890,2750,0.357,0.51,0.363,0.324
Christopher Nkunku,2021,2022,MID,2750,1897,0.51,0.773,0.324,0.233
Christopher Nkunku,2022,2023,FWD,1897,416,0.773,0.522,0.233,0.049
Christopher Nkunku,2023,2024,FWD,416,829,0.522,0.508,0.049,0.21
Clement Lenglet,2016,2017,DEF,2980,3000,0.013,0.078,0.032,0.026
Clement Lenglet,2017,2018,DEF,3000,1935,0.078,0.068,0.026,0.0
Clement Lenglet,2018,2019,DEF,1935,2437,0.068,0.028,0.0,0.018
Clement Lenglet,2019,2020,DEF,2437,2477,0.028,0.087,0.018,0.029
Clement Lenglet,2020,2021,DEF,2477,808,0.087,0.023,0.029,0.053
Clement Lenglet,2021,2022,DEF,808,2039,0.023,0.042,0.053,0.031
Clement Lenglet,2022,2023,DEF,2039,1167,0.042,0.076,0.031,0.066
Cody Gakpo,2022,2023,FWD,1483,1640,0.398,0.481,0.181,0.232
Cody Gakpo,2023,2024,FWD,1640,1494,0.481,0.426,0.232,0.254
Cole Palmer,2022,2023,MID,336,2640,0.245,0.608,0.17,0.405
Cole Palmer,2023,2024,MID,2640,2598,0.608,0.482,0.405,0.358
Conor Bradley,2023,2024,FWD,776,347,0.105,0.244,0.226,0.0
Conor Coady,2018,2019,DEF,3420,3420,0.0,0.0,0.0,0.014
Conor Coady,2019,2020,DEF,3420,3305,0.0,0.039,0.014,0.005
Conor Coady,2020,2021,DEF,3305,3369,0.039,0.062,0.005,0.002
Conor Coady,2021,2022,DEF,3369,2096,0.062,0.026,0.002,0.02
Conor Gallagher,2020,2021,MID,2529,2863,0.055,0.241,0.05,0.13
Conor Gallagher,2021,2022,MID,2863,1590,0.241,0.144,0.13,0.149
Conor Gallagher,2022,2023,MID,1590,3171,0.144,0.134,0.149,0.164
Craig Dawson,2014,2015,DEF,2593,3387,0.061,0.133,0.011,0.087
Craig Dawson,2015,2016,DEF,3387,3281,0.133,0.081,0.087,0.03
Craig Dawson,2016,2017,DEF,3281,2512,0.081,0.081,0.03,0.034
Craig Dawson,2019,2020,DEF,2356,1925,0.086,0.128,0.013,0.003
Craig Dawson,2020,2021,DEF,1925,2760,0.128,0.096,0.003,0.034
Craig Dawson,2021,2022,DEF,2760,2148,0.096,0.064,0.034,0.005
Craig Dawson,2022,2023,DEF,2148,2214,0.064,0.055,0.005,0.055
Craig Dawson,2023,2024,DEF,2214,950,0.055,0.039,0.055,0.007
Cristian Romero,2018,2019,DEF,2341,2593,0.085,0.035,0.017,0.015
Cristian Romero,2019,2020,DEF,2593,2552,0.035,0.048,0.015,0.03
Cristian Romero,2020,2021,DEF,2552,1850,0.048,0.02,0.03,0.018
Cristian Romero,2021,2022,DEF,1850,2367,0.02,0.033,0.018,0.034
Cristian Romero,2022,2023,DEF,2367,2796,0.033,0.128,0.034,0.011
Cristian Romero,2023,2024,DEF,2796,1197,0.128,0.094,0.011,0.04
Curtis Jones,2020,2021,MID,1174,869,0.135,0.086,0.117,0.07
Curtis Jones,2021,2022,MID,869,1059,0.086,0.108,0.07,0.086
Curtis Jones,2022,2023,MID,1059,1152,0.108,0.194,0.086,0.074
Curtis Jones,2023,2024,FWD,1152,1268,0.194,0.301,0.074,0.114
Cédric Soares,2015,2016,DEF,1986,2524,0.014,0.023,0.155,0.11
Cédric Soares,2016,2017,DEF,2524,2800,0.023,0.021,0.11,0.112
Cédric Soares,2017,2018,DEF,2800,1755,0.021,0.022,0.112,0.078
Cédric Soares,2018,2019,DEF,1755,1567,0.022,0.038,0.078,0.048
Cédric Soares,2019,2020,MID,1567,746,0.038,0.025,0.048,0.108
Cédric Soares,2020,2021,FWD,746,1483,0.025,0.03,0.108,0.092
Daichi Kamada,2019,2020,MID,1970,2383,0.291,0.227,0.16,0.256
Daichi Kamada,2020,2021,MID,2383,2143,0.227,0.191,0.256,0.108
Daichi Kamada,2021,2022,MID,2143,2279,0.191,0.351,0.108,0.14
Daichi Kamada,2022,2023,MID,2279,1552,0.351,0.103,0.14,0.19
Daichi Kamada,2023,2024,MID,1552,1000,0.103,0.068,0.19,0.087
Dan Burn,2019,2020,DEF,2879,2059,0.06,0.047,0.052,0.043
Dan Burn,2020,2021,DEF,2059,2465,0.047,0.059,0.043,0.053
Dan Burn,2021,2022,DEF,2465,3130,0.059,0.065,0.053,0.058
Dan Burn,2022,2023,FWD,3130,2763,0.065,0.134,0.058,0.062
Dan Burn,2023,2024,DEF,2763,2520,0.134,0.049,0.062,0.021
Dango Ouattara,2021,2022,FWD,781,2814,0.2,0.297,0.144,0.204
Dango Ouattara,2022,2023,MID,2814,1200,0.297,0.212,0.204,0.127
Dango Ouattara,2023,2024,FWD,1200,1686,0.212,0.558,0.127,0.272
Daniel Muñoz,2023,2024,MID,1440,2427,0.11,0.187,0.193,0.158
Daniel Podence,2020,2021,MID,1718,1491,0.144,0.121,0.096,0.256
Daniel Podence,2021,2022,FWD,1491,1769,0.121,0.189,0.256,0.123
Danilo,2022,2023,MID,999,1799,0.15,0.083,0.073,0.077
Danny Ings,2014,2015,FWD,3048,336,0.363,0.496,0.125,0.094
Danny Ings,2018,2019,FWD,1694,2836,0.527,0.497,0.178,0.09
Danny Ings,2019,2020,FWD,2836,2200,0.497,0.339,0.09,0.095
Danny Ings,2020,2021,FWD,2200,1920,0.339,0.321,0.095,0.068
Danny Ings,2021,2022,FWD,1920,1562,0.321,0.476,0.068,0.084
Danny Ings,2022,2023,FWD,1562,342,0.476,0.322,0.084,0.1
Danny Welbeck,2014,2015,FWD,1714,581,0.382,0.461,0.152,0.118
Danny Welbeck,2015,2016,MID,581,743,0.461,0.42,0.118,0.14
Danny Welbeck,2016,2017,FWD,743,1169,0.42,0.441,0.14,0.105
Danny Welbeck,2019,2020,FWD,791,1551,0.385,0.428,0.027,0.188
Danny Welbeck,2020,2021,FWD,1551,1464,0.428,0.509,0.188,0.055
Danny Welbeck,2021,2022,FWD,1464,1868,0.509,0.46,0.055,0.246
Danny Welbeck,2022,2023,FWD,1868,1723,0.46,0.326,0.246,0.114
Danny Welbeck,2023,2024,FWD,1723,1625,0.326,0.459,0.114,0.094
Dara O&#039;Shea,2023,2024,DEF,2899,2409,0.028,0.047,0.051,0.004
Darwin Núñez,2022,2023,FWD,1702,2037,0.76,0.848,0.299,0.263
Darwin Núñez,2023,2024,FWD,2037,965,0.848,0.58,0.263,0.16
David Brooks,2018,2019,MID,2317,533,0.251,0.073,0.228,0.09
David Raya,2021,2022,GK,2160,3420,0.0,0.003,0.002,0.004
David Raya,2022,2023,GK,3420,2880,0.003,0.0,0.004,0.0
David Raya,2023,2024,GK,2880,2700,0.0,0.0,0.0,0.0
Davinson Sánchez,2017,2018,FWD,2535,1943,0.02,0.075,0.004,0.029
Davinson Sánchez,2018,2019,DEF,1943,2433,0.075,0.028,0.029,0.001
Davinson Sánchez,2019,2020,FWD,2433,1488,0.028,0.048,0.001,0.001
Davinson Sánchez,2020,2021,DEF,1488,1618,0.048,0.111,0.001,0.016
Davinson Sánchez,2021,2022,DEF,1618,845,0.111,0.032,0.016,0.015
Dean Henderson,2019,2020,GK,3240,1122,0.001,0.0,0.001,0.0
Dean Henderson,2022,2023,GK,1620,1620,0.0,0.0,0.0,0.0
Dean Henderson,2023,2024,GK,1620,2610,0.0,0.0,0.0,0.001
Dean Huijsen,2023,2024,DEF,494,1765,0.098,0.057,0.011,0.052
Declan Rice,2017,2018,DEF,1419,3009,0.015,0.037,0.006,0.019
Declan Rice,2018,2019,MID,3009,3420,0.037,0.033,0.019,0.034
Declan Rice,2019,2020,MID,3420,2880,0.033,0.1,0.034,0.062
Declan Rice,2020,2021,MID,2880,3175,0.1,0.03,0.062,0.044
Declan Rice,2021,2022,MID,3175,3268,0.03,0.062,0.044,0.064
Declan Rice,2022,2023,MID,3268,3256,0.062,0.088,0.064,0.163
Declan Rice,2023,2024,MID,3256,2257,0.088,0.083,0.163,0.329
Dejan Kulusevski,2019,2020,MID,2954,1917,0.221,0.157,0.257,0.297
Dejan Kulusevski,2020,2021,MID,1917,2034,0.157,0.248,0.297,0.251
Dejan Kulusevski,2021,2022,MID,2034,2120,0.248,0.111,0.251,0.233
Dejan Kulusevski,2022,2023,FWD,2120,2787,0.111,0.188,0.233,0.278
Dejan Kulusevski,2023,2024,FWD,2787,2161,0.188,0.215,0.278,0.266
Diego Carlos,2016,2017,DEF,2950,2292,0.082,0.048,0.026,0.016
Diego Carlos,2017,2018,FWD,2292,3149,0.048,0.056,0.016,0.021
Diego Carlos,2018,2019,DEF,3149,3138,0.056,0.058,0.021,0.016
Diego Carlos,2019,2020,DEF,3138,2792,0.058,0.053,0.016,0.021
Diego Carlos,2020,2021,DEF,2792,2973,0.053,0.076,0.021,0.012
Diego Carlos,2023,2024,DEF,1784,828,0.091,0.106,0.006,0.0
Diogo Dalot,2020,2021,FWD,1070,1790,0.043,0.033,0.081,0.043
Diogo Dalot,2021,2022,DEF,1790,2164,0.033,0.092,0.043,0.08
Diogo Dalot,2022,2023,DEF,2164,3171,0.092,0.038,0.08,0.088
Diogo Dalot,2023,2024,DEF,3171,2579,0.038,0.059,0.088,0.082
Diogo Jota,2018,2019,FWD,2402,2329,0.334,0.464,0.207,0.102
Diogo Jota,2019,2020,FWD,2329,1114,0.464,0.57,0.102,0.142
Diogo Jota,2020,2021,FWD,1114,2401,0.57,0.65,0.142,0.22
Diogo Jota,2021,2022,FWD,2401,1132,0.65,0.512,0.22,0.141
Diogo Jota,2022,2023,FWD,1132,1164,0.512,0.52,0.141,0.247
Diogo Jota,2023,2024,FWD,1164,986,0.52,0.744,0.247,0.166
Divock Origi,2014,2015,FWD,2149,660,0.415,0.457,0.147,0.068
Divock Origi,2015,2016,FWD,660,1450,0.457,0.343,0.068,0.099
Divock Origi,2016,2017,FWD,1450,1967,0.343,0.288,0.099,0.049
Divock Origi,2017,2018,FWD,1967,357,0.288,0.565,0.049,0.047
Divock Origi,2018,2019,FWD,357,680,0.565,0.277,0.047,0.109
Divock Origi,2022,2023,FWD,981,557,0.327,0.25,0.094,0.257
Djed Spence,2022,2023,FWD,581,836,0.094,0.01,0.019,0.026
Djed Spence,2023,2024,FWD,836,1148,0.01,0.021,0.026,0.129
Dominic Calvert-Lewin,2016,2017,FWD,340,1861,0.33,0.263,0.0,0.148
Dominic Calvert-Lewin,2017,2018,FWD,1861,1763,0.263,0.315,0.148,0.084
Dominic Calvert-Lewin,2018,2019,FWD,1763,2639,0.315,0.549,0.084,0.046
Dominic Calvert-Lewin,2019,2020,FWD,2639,2878,0.549,0.569,0.046,0.066
Dominic Calvert-Lewin,2020,2021,FWD,2878,1297,0.569,0.431,0.066,0.115
Dominic Calvert-Lewin,2021,2022,FWD,1297,1197,0.431,0.489,0.115,0.093
Dominic Calvert-Lewin,2022,2023,FWD,1197,2234,0.489,0.549,0.093,0.124
Dominic Calvert-Lewin,2023,2024,FWD,2234,1600,0.549,0.441,0.124,0.042
Dominic Solanke,2017,2018,FWD,552,322,0.598,0.222,0.413,0.1
Dominic Solanke,2018,2019,FWD,322,1617,0.222,0.247,0.1,0.059
Dominic Solanke,2022,2023,FWD,2874,3346,0.292,0.576,0.124,0.095
Dominic Solanke,2023,2024,FWD,3346,1968,0.576,0.496,0.095,0.113
Dominik Szoboszlai,2021,2022,FWD,1521,2461,0.288,0.19,0.372,0.339
Dominik Szoboszlai,2022,2023,FWD,2461,2135,0.19,0.148,0.339,0.238
Dominik Szoboszlai,2023,2024,FWD,2135,2116,0.148,0.25,0.238,0.207
Donny van de Beek,2020,2021,MID,486,545,0.055,0.25,0.193,0.072
Donyell Malen,2021,2022,FWD,1710,1754,0.334,0.535,0.191,0.295
Donyell Malen,2022,2023,MID,1754,1797,0.535,0.47,0.295,0.182
Donyell Malen,2023,2024,FWD,1797,753,0.47,0.544,0.182,0.047
Douglas Luiz,2018,2019,MID,1485,2602,0.063,0.079,0.036,0.069
Douglas Luiz,2019,2020,MID,2602,2807,0.079,0.042,0.069,0.078
Douglas Luiz,2020,2021,FWD,2807,2733,0.042,0.073,0.078,0.08
Douglas Luiz,2021,2022,MID,2733,2947,0.073,0.097,0.08,0.14
Douglas Luiz,2022,2023,MID,2947,3043,0.097,0.224,0.14,0.156
Dwight McNeil,2018,2019,MID,1610,3360,0.102,0.052,0.194,0.203
Dwight McNeil,2019,2020,MID,3360,3075,0.052,0.032,0.203,0.16
Dwight McNeil,2020,2021,MID,3075,3130,0.032,0.07,0.16,0.144
Dwight McNeil,2021,2022,MID,3130,2512,0.07,0.139,0.144,0.267
Dwight McNeil,2022,2023,MID,2512,2914,0.139,0.112,0.267,0.319
Dwight McNeil,2023,2024,MID,2914,1151,0.112,0.09,0.319,0.324
Eberechi Eze,2020,2021,MID,2570,597,0.087,0.069,0.131,0.146
Eberechi Eze,2021,2022,FWD,597,2657,0.069,0.231,0.146,0.156
Eberechi Eze,2022,2023,MID,2657,2097,0.231,0.402,0.156,0.294
Eberechi Eze,2023,2024,MID,2097,2042,0.402,0.28,0.294,0.247
Eddie Nketiah,2019,2020,FWD,629,405,0.498,0.449,0.09,0.165
Eddie Nketiah,2020,2021,FWD,405,803,0.449,0.56,0.165,0.187
Eddie Nketiah,2021,2022,FWD,803,1017,0.56,0.816,0.187,0.131
Eddie Nketiah,2022,2023,FWD,1017,1036,0.816,0.439,0.131,0.105
Eddie Nketiah,2023,2024,FWD,1036,703,0.439,0.579,0.105,0.165
Ederson,2017,2018,GK,3195,3420,0.0,0.0,0.001,0.002
Ederson,2018,2019,GK,3420,3071,0.0,0.0,0.002,0.002
Ederson,2019,2020,GK,3071,3240,0.0,0.0,0.002,0.008
Ederson,2020,2021,GK,3240,3330,0.0,0.0,0.008,0.0
Ederson,2021,2022,GK,3330,3150,0.0,0.0,0.0,0.008
Ederson,2022,2023,GK,3150,2794,0.0,0.0,0.008,0.0
Ederson,2023,2024,GK,2794,1800,0.0,0.0,0.0,0.037
Edson Álvarez,2023,2024,FWD,2405,1584,0.045,0.016,0.022,0.044
Elliot Anderson,2022,2023,MID,353,997,0.288,0.121,0.398,0.137
Elliot Anderson,2023,2024,FWD,997,2081,0.121,0.07,0.137,0.16
Emerson,2018,2019,DEF,653,1019,0.038,0.097,0.082,0.149
Emerson,2019,2020,FWD,1019,2998,0.097,0.042,0.149,0.096
Emerson,2020,2021,DEF,2998,2274,0.042,0.03,0.096,0.174
Emerson,2021,2022,FWD,2274,1331,0.03,0.068,0.174,0.055
Emerson,2022,2023,FWD,1331,3163,0.068,0.046,0.055,0.043
Emerson,2023,2024,MID,3163,1862,0.046,0.096,0.043,0.059
Emil Krafth,2016,2017,DEF,1648,944,0.009,0.034,0.033,0.007
Emil Krafth,2017,2018,DEF,944,2974,0.034,0.02,0.007,0.092
Emil Krafth,2018,2019,DEF,2974,1024,0.02,0.031,0.092,0.062
Emil Krafth,2019,2020,DEF,1024,1297,0.031,0.01,0.062,0.03
Emil Krafth,2020,2021,DEF,1297,1636,0.01,0.013,0.03,0.057
Emile Smith-Rowe,2020,2021,MID,1456,1928,0.098,0.25,0.224,0.142
Emile Smith-Rowe,2023,2024,FWD,325,1864,0.421,0.242,0.067,0.081
Emiliano Buendía,2021,2022,MID,1907,2446,0.144,0.207,0.22,0.161
Emiliano Martinez,2019,2020,GK,771,3420,0.0,0.0,0.0,0.003
Emiliano Martinez,2020,2021,GK,3420,3240,0.0,0.0,0.003,0.0
Emiliano Martinez,2021,2022,GK,3240,3143,0.0,0.0,0.0,0.004
Emiliano Martinez,2022,2023,GK,3143,3022,0.0,0.0,0.004,0.001
Emiliano Martinez,2023,2024,GK,3022,2531,0.0,0.0,0.001,0.0
Emmanuel Agbadou,2022,2023,DEF,2387,2601,0.067,0.08,0.11,0.036
Emmanuel Agbadou,2023,2024,DEF,2601,1954,0.08,0.026,0.036,0.026
Enes Ünal,2017,2018,FWD,1709,2152,0.383,0.36,0.113,0.065
Enes Ünal,2018,2019,FWD,2152,2322,0.36,0.363,0.065,0.111
Enes Ünal,2019,2020,FWD,2322,1325,0.363,0.289,0.111,0.126
Enes Ünal,2020,2021,FWD,1325,2848,0.289,0.36,0.126,0.05
Enes Ünal,2021,2022,FWD,2848,3013,0.36,0.347,0.05,0.1
Enes Ünal,2022,2023,FWD,3013,416,0.347,0.887,0.1,0.409
Enzo Fernández,2022,2023,MID,1559,2237,0.036,0.247,0.123,0.143
Enzo Fernández,2023,2024,MID,2237,2312,0.247,0.199,0.143,0.238
Eric Dier,2014,2015,DEF,2288,3271,0.056,0.045,0.058,0.038
Eric Dier,2015,2016,MID,3271,3045,0.045,0.047,0.038,0.022
Eric Dier,2016,2017,MID,3045,2832,0.047,0.047,0.022,0.059
Eric Dier,2017,2018,DEF,2832,1519,0.047,0.084,0.059,0.065
Eric Dier,2018,2019,DEF,1519,1339,0.084,0.069,0.065,0.019
Eric Dier,2019,2020,DEF,1339,2520,0.069,0.045,0.019,0.008
Eric Dier,2020,2021,DEF,2520,3071,0.045,0.046,0.008,0.039
Eric Dier,2021,2022,DEF,3071,2815,0.046,0.047,0.039,0.052
Eric Dier,2022,2023,FWD,2815,1351,0.047,0.077,0.052,0.004
Erling Haaland,2019,2020,FWD,1061,2416,0.754,0.879,0.129,0.15
Erling Haaland,2020,2021,FWD,2416,1917,0.879,0.8,0.15,0.277
Erling Haaland,2021,2022,FWD,1917,2803,0.8,1.052,0.277,0.188
Erling Haaland,2022,2023,FWD,2803,2581,1.052,1.104,0.188,0.166
Erling Haaland,2023,2024,FWD,2581,2488,1.104,0.828,0.166,0.121
Estupiñán,2019,2020,FWD,2965,1153,0.04,0.037,0.11,0.142
Estupiñán,2020,2021,DEF,1153,1571,0.037,0.048,0.142,0.177
Estupiñán,2021,2022,FWD,1571,2707,0.048,0.077,0.177,0.188
Estupiñán,2022,2023,FWD,2707,1239,0.077,0.075,0.188,0.239
Estupiñán,2023,2024,DEF,1239,1782,0.075,0.041,0.239,0.104
Ethan Pinnock,2021,2022,DEF,2701,2700,0.058,0.12,0.057,0.021
Ethan Pinnock,2022,2023,DEF,2700,2521,0.12,0.121,0.021,0.021
Ethan Pinnock,2023,2024,DEF,2521,1912,0.121,0.044,0.021,0.071
Evan Ferguson,2022,2023,FWD,950,1364,0.537,0.262,0.065,0.043
Evan Ferguson,2023,2024,FWD,1364,330,0.262,0.404,0.043,0.216
Ezri Konsa Ngoyo,2019,2020,DEF,2054,3192,0.073,0.093,0.039,0.003
Ezri Konsa Ngoyo,2020,2021,DEF,3192,2494,0.093,0.044,0.003,0.01
Ezri Konsa Ngoyo,2021,2022,DEF,2494,3325,0.044,0.022,0.01,0.039
Ezri Konsa Ngoyo,2022,2023,DEF,3325,3090,0.022,0.068,0.039,0.02
Ezri Konsa Ngoyo,2023,2024,DEF,3090,2261,0.068,0.029,0.02,0.007
Fabian Schär,2017,2018,DEF,2221,2007,0.13,0.097,0.03,0.033
Fabian Schär,2018,2019,DEF,2007,1675,0.097,0.057,0.033,0.005
Fabian Schär,2019,2020,DEF,1675,1252,0.057,0.105,0.005,0.0
Fabian Schär,2020,2021,FWD,1252,2167,0.105,0.035,0.0,0.061
Fabian Schär,2021,2022,DEF,2167,3223,0.035,0.142,0.061,0.068
Fabian Schär,2022,2023,DEF,3223,3057,0.142,0.079,0.068,0.036
Fabian Schär,2023,2024,DEF,3057,2135,0.079,0.076,0.036,0.009
Fabio Silva,2020,2021,FWD,1341,558,0.412,0.442,0.078,0.066
Facundo Buonanotte,2022,2023,MID,553,1408,0.177,0.19,0.095,0.147
Facundo Buonanotte,2023,2024,MID,1408,1335,0.19,0.258,0.147,0.217
Facundo Pellistri,2020,2021,FWD,534,636,0.071,0.072,0.006,0.047
Federico Chiesa,2016,2017,MID,1492,3031,0.186,0.201,0.154,0.186
Federico Chiesa,2017,2018,MID,3031,3038,0.201,0.278,0.186,0.168
Federico Chiesa,2018,2019,MID,3038,2668,0.278,0.417,0.168,0.188
Federico Chiesa,2019,2020,FWD,2668,2508,0.417,0.302,0.188,0.326
Federico Chiesa,2020,2021,MID,2508,867,0.302,0.256,0.326,0.111
Federico Chiesa,2021,2022,FWD,867,829,0.256,0.19,0.111,0.295
Federico Chiesa,2022,2023,MID,829,2220,0.19,0.325,0.295,0.298
Felipe,2019,2020,DEF,2094,2049,0.078,0.057,0.005,0.019
Felipe,2020,2021,DEF,2049,1488,0.057,0.078,0.019,0.039
Felipe,2021,2022,DEF,1488,1617,0.078,0.074,0.039,0.086
Felipe,2022,2023,DEF,1617,369,0.074,0.042,0.086,0.009
Filip Jorgensen,2023,2024,GK,3240,540,0.0,0.0,0.0,0.0
Fode Toure,2017,2018,DEF,2068,3191,0.005,0.02,0.025,0.098
Fode Toure,2018,2019,DEF,3191,1672,0.02,0.023,0.098,0.093
Fode Toure,2019,2020,DEF,1672,629,0.023,0.024,0.093,0.119
Fode Toure,2020,2021,FWD,629,435,0.024,0.056,0.119,0.033
Fode Toure,2021,2022,FWD,435,513,0.056,0.243,0.033,0.114
Frank Onyeka,2021,2022,FWD,1056,823,0.065,0.142,0.014,0.098
Frank Onyeka,2022,2023,MID,823,1124,0.142,0.161,0.098,0.148
Frank Onyeka,2023,2024,FWD,1124,2123,0.161,0.069,0.148,0.057
Fraser Forster,2014,2015,GK,2623,1620,0.0,0.0,0.001,0.0
Fraser Forster,2015,2016,GK,1620,3420,0.0,0.0,0.0,0.009
Fraser Forster,2016,2017,GK,3420,1800,0.0,0.0,0.009,0.0
Fraser Forster,2020,2021,GK,720,1710,0.0,0.0,0.0,0.0
Fraser Forster,2021,2022,GK,1710,1212,0.0,0.0,0.0,0.0
Gabriel,2018,2019,FWD,1058,2087,0.052,0.045,0.014,0.006
Gabriel,2019,2020,DEF,2087,1994,0.045,0.071,0.006,0.003
Gabriel,2020,2021,DEF,1994,3075,0.071,0.104,0.003,0.007
Gabriel,2021,2022,DEF,3075,3416,0.104,0.114,0.007,0.004
