player,team,position,category,price,source_minutes,translated_xg90,translated_xa90,translated_xgi90,expected_minutes_prior,uncertainty,translation_method
Vitor de Oliveira Nunes dos Reis,Manchester City,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Claudio Echeverri,Manchester City,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Kalvin Phillips,Manchester City,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Jeremy Monga,Manchester City,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Gerónimo Rulli,Manchester City,GK,Mid-Tier Domestic / European Transfer,5.0,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Tom Heaton,Manchester United,GK,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Harry Amass,Manchester United,DEF,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Marcus Rashford,Manchester United,MID,Elite Foreign Transfer,7.0,2500,0.21,0.223,0.433,1473,0.065,Hierarchical Empirical-Bayes Cross-League Model
Toby Collyer,Manchester United,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Chido Obi,Manchester United,FWD,Academy / Youth Prospect,4.5,450,0.132,0.078,0.21,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Mark Gillespie,Newcastle United,GK,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Ewen Jaouen,Newcastle United,GK,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Bazoumana Touré,Newcastle United,MID,Mid-Tier Domestic / European Transfer,6.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Sean Steur,Newcastle United,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Aladji Bamba,Newcastle United,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Lukás Hornícek,Newcastle United,GK,Mid-Tier Domestic / European Transfer,5.0,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Amar Dedic,Newcastle United,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Omar Richards,Nottingham Forest,DEF,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Tyler Bindon,Nottingham Forest,DEF,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Xaver Schlager,Nottingham Forest,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Ousmane Diomande,Nottingham Forest,DEF,Mid-Tier Domestic / European Transfer,5.5,1800,0.061,0.051,0.112,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Steven Benda,Nottingham Forest,GK,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Brandon Austin,Tottenham,GK,Academy / Youth Prospect,4.0,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Ashley Phillips,Tottenham,DEF,Academy / Youth Prospect,4.5,450,0.099,0.068,0.167,936,0.12,Hierarchical Empirical-Bayes Cross-League Model
Dejan Kulusevski,Tottenham,MID,Mid-Tier Domestic / European Transfer,6.5,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Mikey Moore,Tottenham,MID,Mid-Tier Domestic / European Transfer,5.0,1800,0.126,0.12,0.246,1385,0.09,Hierarchical Empirical-Bayes Cross-League Model
Anthony Patterson,Sunderland,GK,Championship / Promoted Core,4.0,2800,0.053,0.047,0.1,1500,0.085,Hierarchical Empirical-Bayes Cross-League Model
Leo Fuhr Hjelde,Sunderland,DEF,Championship / Promoted Core,4.0,2800,0.053,0.047,0.1,1500,0.085,Hierarchical Empirical-Bayes Cross-League Model
Thomas Meunier,Sunderland,DEF,Championship / Promoted Core,4.5,2800,0.053,0.047,0.1,1500,0.085,Hierarchical Empirical-Bayes Cross-League Model
